mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,spectral_centroid,spectral_bandwidth,zero_crossing_rate,spectrogram_mean,spectrogram_median,spectrogram_variance,label
-296.54022,52.010586,-77.23179,18.46543,-6.5217466,10.77037,-8.409011,-14.814244,6.733582,3.5373685,-18.821302,-6.4889364,-3.7668214,1900.591996,1273.995852,0.183416193,0.8955251,0.2701128,3.0612195,1
-371.6438,60.83611,-30.540173,10.740204,-1.6403829,2.0640864,-2.9293106,-3.624291,0.68467444,-2.6683676,-14.470486,2.7478745,-2.6456788,1666.135753,1457.848561,0.138741629,0.6050574,0.20377985,1.3024677,1
-341.89056,75.22228,-33.41258,12.515392,8.939551,5.9997044,4.746076,5.7699246,-4.4393997,10.744908,10.545085,8.641362,-5.7691627,1554.126328,1434.611918,0.105855802,0.5174257,0.14717016,1.3618661,1
-339.2915,84.353004,-57.716343,5.146385,-7.0569873,18.237984,-11.25814,-0.8916682,2.9862478,-5.980896,-8.687901,-0.733216,0.000817356,1551.85625,1272.356537,0.132469974,0.5754129,0.08546826,5.4533095,1
-289.40833,112.02448,-79.78316,-6.0939536,-16.854568,29.217564,-13.707478,-16.343868,3.5155015,-6.899409,-19.103943,-3.9417212,11.516599,1313.770527,885.0321216,0.145347595,0.6899242,0.039217126,13.091151,1
-332.26056,79.059166,-40.679466,9.383787,-2.36857,7.4957747,-3.0948837,4.675301,10.749807,-3.515754,-0.3175356,10.026043,13.661583,1692.638938,1486.891751,0.134024784,0.5272137,0.19017996,0.9950226,1
-171.10106,-14.341151,-98.989204,44.34022,-5.4317145,49.530724,2.6972609,-10.05504,-0.06336329,8.363051,-9.736959,6.941815,-3.8427935,2642.263434,1249.843623,0.289580676,1.224519,0.58353746,2.6541858,1
-317.72934,68.57722,-63.551224,9.979154,-4.2819777,8.18129,-5.2940245,-0.52422804,3.6119304,-3.316618,-11.943165,3.6022062,12.37532,1819.584715,1397.096792,0.16356383,0.74224436,0.18783467,1.8346844,1
-333.60034,99.87438,-39.933247,14.253299,10.381819,19.624468,6.3584347,3.1121583,1.7040324,0.69665277,-8.327402,1.7896743,-5.808446,1306.522643,1249.601121,0.099130859,0.65984607,0.22589688,1.3862172,1
-385.0127,75.41902,-1.7215518,1.3654361,-19.35555,10.447681,16.783716,-9.17558,-3.2529845,-2.0201583,-8.658266,8.646432,9.503162,1596.308686,1463.534434,0.149793027,0.35642987,0.07345494,0.92498136,1
-369.71274,69.84789,-29.837751,11.580876,5.0762734,4.206309,2.4079144,5.9981947,7.4512897,0.8198373,-0.70896614,4.534647,13.212997,1759.721578,1601.262689,0.125270299,0.45931154,0.10747867,0.7500432,1
-274.78384,102.99343,-51.29418,25.180994,5.8745036,8.931105,-3.7193024,6.8791313,6.3670316,6.3356285,5.8007865,13.766237,-6.6720147,1377.680651,1297.283914,0.104093853,0.88724124,0.29112625,1.8420964,1
-325.9102,81.37354,-50.425735,32.12534,-7.61985,12.084632,0.21669818,-14.759521,1.8157363,-4.6408787,-7.0638556,15.858346,2.9872153,1766.622395,1343.722573,0.22447311,0.6307658,0.21607335,1.3379036,1
-393.8682,97.10006,-3.0308623,6.286447,-9.550346,6.549028,6.306176,2.3766522,22.04172,7.554598,-2.2076218,-4.1194854,-9.0926485,1356.791787,1462.446948,0.090605469,0.19768314,0.042363558,0.5594314,1
-375.34506,91.14419,-37.774685,23.264414,3.7820196,15.203627,1.38503,0.7527689,3.807607,-0.35390064,-0.95496356,1.7606437,-2.1252747,1417.975599,1384.701739,0.112473366,0.4694302,0.19445546,0.6023342,1
-379.59448,92.937744,-19.686293,14.729635,13.44133,18.677237,3.353569,4.042338,3.1770844,-2.5009239,-1.2488006,-1.2051388,-9.988786,1244.514848,1322.609565,0.074601863,0.43363705,0.13495429,0.6238073,1
-348.8001,72.05772,-25.9145,11.269394,0.21519852,4.4258795,-11.083176,-3.184068,11.897532,9.410338,10.385784,18.118195,-3.546913,1553.130812,1441.920837,0.11147357,0.3844297,0.07499345,1.718889,1
-149.12785,-37.7927,-109.67804,46.50699,-7.532459,55.78196,-3.5225432,-5.483029,-4.0990195,15.057544,-10.323908,6.6975145,-10.061473,2836.005121,1227.150338,0.314180108,1.3332478,0.79975873,3.075201,1
-367.51132,87.16888,2.7580311,3.2397962,-11.193751,6.9282384,-2.0413575,-3.447712,-0.68710715,-5.2425504,-3.733592,3.4009159,5.3841496,1407.574373,1421.315551,0.087044271,0.27215216,0.034799315,1.9527512,1
